0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,--undefined--,--undefined--
0.07,105.168,69.581
0.08,105.994,70.602
0.09,105.467,71.091
0.10,100.507,71.052
0.11,99.803,70.667
0.12,99.073,70.253
0.13,98.807,70.071
0.14,98.789,70.150
0.15,98.814,70.379
0.16,99.243,70.687
0.17,100.012,71.075
0.18,100.905,71.559
0.19,103.630,72.095
0.20,105.387,72.578
0.21,106.820,72.905
0.22,108.396,73.068
0.23,110.889,73.162
0.24,113.217,73.308
0.25,115.133,73.565
0.26,116.976,73.909
0.27,118.502,74.267
0.28,119.120,74.567
0.29,119.318,74.781
0.30,119.560,74.915
0.31,119.565,74.980
0.32,119.328,74.964
0.33,118.746,74.843
0.34,117.578,74.602
0.35,116.471,74.246
0.36,115.342,73.788
0.37,113.924,73.227
0.38,111.872,72.542
0.39,109.104,71.738
0.40,105.887,70.924
0.41,102.953,70.290
0.42,100.314,69.945
0.43,97.894,69.803
0.44,95.623,69.711
0.45,93.360,69.644
0.46,92.277,69.609
0.47,91.396,69.503
0.48,89.573,69.184
0.49,88.631,68.681
0.50,88.321,68.195
0.51,87.731,67.878
0.52,87.318,67.678
0.53,87.000,67.472
0.54,87.088,67.215
0.55,87.531,66.909
0.56,87.835,66.510
0.57,88.094,65.912
0.58,88.259,64.893
0.59,87.764,63.143
0.60,87.139,60.443
0.61,87.562,57.010
0.62,91.236,53.958
0.63,92.169,52.410
0.64,92.890,51.843
0.65,93.391,51.731
0.66,93.813,52.043
0.67,94.831,52.951
0.68,95.893,55.156
0.69,94.627,59.037
0.70,98.024,62.958
0.71,98.763,65.713
0.72,98.151,67.030
0.73,97.713,66.924
0.74,96.395,65.499
0.75,92.721,63.022
0.76,91.602,60.175
0.77,90.466,58.115
0.78,90.036,57.585
0.79,92.319,59.484
0.80,100.911,63.419
0.81,102.462,67.109
0.82,103.555,69.703
0.83,103.852,71.259
0.84,103.563,72.059
0.85,103.528,72.391
0.86,104.482,72.466
0.87,105.166,72.407
0.88,105.139,72.283
0.89,105.088,72.122
0.90,104.781,71.905
0.91,104.082,71.612
0.92,103.095,71.272
0.93,101.440,70.914
0.94,99.139,70.499
0.95,96.181,69.983
0.96,94.019,69.405
0.97,92.070,68.862
0.98,90.347,68.414
0.99,89.321,68.045
1.00,88.491,67.711
1.01,88.000,67.385
1.02,84.705,67.028
1.03,83.113,66.592
1.04,81.469,66.109
1.05,81.320,65.624
1.06,74.971,65.010
1.07,67.664,64.133
1.08,68.579,63.185
1.09,69.225,62.617
1.10,--undefined--,62.606
1.11,--undefined--,62.854
1.12,--undefined--,62.925
1.13,--undefined--,62.800
1.14,82.945,62.844
1.15,81.734,63.154
1.16,88.694,63.423
1.17,94.396,63.422
1.18,92.992,63.095
1.19,92.357,62.380
1.20,92.525,61.127
1.21,85.585,59.156
1.22,85.571,--undefined--
1.23,--undefined--,--undefined--
1.24,--undefined--,--undefined--
1.25,--undefined--,--undefined--
1.26,--undefined--,--undefined--
1.27,--undefined--,--undefined--
