0.01,--undefined--,--undefined--
0.02,--undefined--,--undefined--
0.03,--undefined--,--undefined--
0.04,--undefined--,--undefined--
0.05,--undefined--,--undefined--
0.06,170.986,--undefined--
0.07,173.067,56.037
0.08,176.342,57.811
0.09,180.614,59.401
0.10,185.649,61.168
0.11,191.170,63.542
0.12,201.529,66.193
0.13,203.294,68.424
0.14,204.991,69.972
0.15,208.985,70.945
0.16,213.659,71.565
0.17,216.392,72.041
0.18,221.247,72.518
0.19,226.599,73.022
0.20,230.384,73.443
0.21,234.289,73.657
0.22,237.601,73.624
0.23,239.740,73.378
0.24,241.624,72.992
0.25,243.502,72.563
0.26,244.468,72.157
0.27,244.515,71.797
0.28,243.953,71.508
0.29,242.808,71.322
0.30,240.727,71.246
0.31,237.365,71.246
0.32,233.299,71.247
0.33,228.504,71.174
0.34,222.956,71.023
0.35,216.147,70.838
0.36,210.496,70.578
0.37,204.430,70.066
0.38,198.331,69.111
0.39,188.476,67.624
0.40,181.630,65.646
0.41,175.039,63.381
0.42,166.024,61.259
0.43,158.138,59.899
0.44,153.066,59.655
0.45,150.864,60.299
0.46,149.748,61.380
0.47,149.111,62.526
0.48,148.334,63.509
0.49,147.703,64.264
0.50,147.228,64.830
0.51,146.104,65.216
0.52,144.290,65.364
0.53,142.425,65.223
0.54,140.676,64.794
0.55,138.768,64.118
0.56,137.086,63.298
0.57,134.911,62.493
0.58,132.870,61.803
0.59,131.776,61.102
0.60,131.357,60.048
0.61,131.705,58.232
0.62,131.954,55.325
0.63,--undefined--,51.243
0.64,--undefined--,46.762
0.65,--undefined--,44.052
0.66,--undefined--,44.173
0.67,--undefined--,47.026
0.68,--undefined--,50.744
0.69,--undefined--,53.410
0.70,135.412,54.510
0.71,133.476,54.010
0.72,128.999,51.987
0.73,--undefined--,48.678
0.74,--undefined--,44.682
0.75,--undefined--,41.127
0.76,--undefined--,41.715
0.77,--undefined--,46.866
0.78,--undefined--,51.492
0.79,--undefined--,54.932
0.80,--undefined--,57.438
0.81,138.202,59.092
0.82,138.564,59.946
0.83,138.709,60.232
0.84,131.130,60.311
0.85,130.596,60.353
0.86,129.043,60.290
0.87,127.297,60.082
0.88,122.797,59.816
0.89,121.618,59.505
0.90,--undefined--,58.945
0.91,60.264,57.944
0.92,60.070,56.593
0.93,59.692,55.250
0.94,59.028,54.447
0.95,--undefined--,54.617
0.96,--undefined--,55.270
0.97,--undefined--,55.616
0.98,--undefined--,55.544
0.99,--undefined--,55.430
1.00,75.843,55.355
1.01,71.184,54.981
1.02,71.229,54.173
1.03,61.328,53.208
1.04,71.540,52.355
1.05,71.481,51.490
1.06,81.928,50.375
1.07,--undefined--,48.864
1.08,--undefined--,46.912
1.09,--undefined--,--undefined--
1.10,--undefined--,--undefined--
1.11,--undefined--,--undefined--
1.12,--undefined--,--undefined--
1.13,--undefined--,--undefined--
1.14,--undefined--,--undefined--
